Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status
Turkey,2022-04-25,175955.594,1156.592,25129.341,Average
Turkmenistan,2022-04-25,NA,NA,16389.023,Low
Tuvalu,2022-04-25,NA,NA,3575.104,Lowest
Uganda,2022-04-25,3472.073,76.128,1697.707,Lowest
Ukraine,2022-04-25,124836.884,2663.989,7894.393,Lowest
United Arab Emirates,2022-04-25,94998.294,243.827,67293.483,High
United Kingdom,2022-04-25,325403.366,2907.956,39753.244,High
United States,2022-04-25,237215.195,2917.282,54225.446,High
Uruguay,2022-04-25,262319.753,2104.42,20551.409,Average
Uzbekistan,2022-04-25,4531.206,29.341,6253.104,Lowest
Vanuatu,2022-04-25,21001.151,36.726,2921.909,Lowest
Venezuela,2022-04-25,18447.231,201.578,16745.022,Low
Vietnam,2022-04-25,107585.704,438.073,6171.884,Lowest
Yemen,2022-04-25,350.718,63.745,1479.147,Lowest
Zambia,2022-04-25,15935.121,198.525,3689.251,Lowest
Zimbabwe,2022-04-25,15166.411,335.038,1899.775,Lowest
